RAND BACKWARD BACKWARD,262144,6032142.0,1166791.0,1093653.0,1237863.0,32768.0,35.60765
CYCLIC,262144,185274500.0,40790.32,35607.0,50468.0,32768.0,1.244822
SAWTOOTH,262144,208024100.0,37625.79,31713.0,43186.0,32768.0,1.148248
RAND FORWARD FORWARD,262144,6027837.0,1167817.0,1094434.0,1194699.0,32768.0,35.63894
RAND FORWARD BACKWARD,262144,6478774.0,1080183.0,1018259.0,1066725.0,32768.0,32.96456
RAND BACKWARD BACKWARD,262144,6029534.0,1161516.0,1094126.0,1152448.0,32768.0,35.44666
CYCLIC,524288,184476700.0,77431.32,71522.0,81070.0,65536.0,1.181508
SAWTOOTH,524288,216354100.0,69350.95,60984.0,78463.0,65536.0,1.058211
RAND FORWARD FORWARD,524288,6096651.0,2301858.0,2164162.0,2352603.0,65536.0,35.12357
RAND FORWARD BACKWARD,524288,6339009.0,2210079.0,2081420.0,2149939.0,65536.0,33.72314
RAND BACKWARD BACKWARD,524288,6095938.0,2288831.0,2164415.0,2192322.0,65536.0,34.9248
CYCLIC,524288,184533400.0,78149.21,71500.0,79596.0,65536.0,1.192462
SAWTOOTH,524288,213276500.0,70145.26,61864.0,79563.0,65536.0,1.070332
RAND FORWARD FORWARD,524288,6077283.0,2302078.0,2171059.0,2271500.0,65536.0,35.12693
RAND FORWARD BACKWARD,524288,6338640.0,2218672.0,2081541.0,2186734.0,65536.0,33.85424
RAND BACKWARD BACKWARD,524288,6100496.0,2301605.0,2162798.0,2264515.0,65536.0,35.1197
CYCLIC,1048576,179091800.0,158739.3,147345.0,170907.0,131072.0,1.211084
SAWTOOTH,1048576,218323100.0,131741.8,120868.0,147059.0,131072.0,1.00511
RAND FORWARD FORWARD,1048576,6136559.0,4670426.0,4300175.0,4807429.0,131072.0,35.63252
RAND FORWARD BACKWARD,1048576,6268283.0,4470144.0,4209810.0,4396337.0,131072.0,34.10449
RAND BACKWARD BACKWARD,1048576,6141256.0,4549920.0,4296886.0,4401551.0,131072.0,34.71314
CYCLIC,1048576,177069300.0,161266.9,149028.0,167508.0,131072.0,1.230369
SAWTOOTH,1048576,215016100.0,136099.5,122727.0,155793.0,131072.0,1.038357
RAND FORWARD FORWARD,1048576,6139575.0,4675602.0,4298063.0,4849295.0,131072.0,35.67201
RAND FORWARD BACKWARD,1048576,6254685.0,4468474.0,4218962.0,4343471.0,131072.0,34.09175
RAND BACKWARD BACKWARD,1048576,6131070.0,4555017.0,4304025.0,4404136.0,131072.0,34.75202
CYCLIC,2097152,182678500.0,313818.4,288904.0,359425.0,262144.0,1.197122
SAWTOOTH,2097152,219662500.0,264204.9,240262.0,351483.0,262144.0,1.007862
RAND FORWARD FORWARD,2097152,6161074.0,9644571.0,8566129.0,10152040.0,262144.0,36.79112
RAND FORWARD BACKWARD,2097152,6228952.0,8979135.0,8472783.0,8887450.0,262144.0,34.25268
RAND BACKWARD BACKWARD,2097152,6169337.0,9045933.0,8554656.0,8891102.0,262144.0,34.5075
CYCLIC,2097152,186007200.0,307634.1,283734.0,368390.0,262144.0,1.173531
SAWTOOTH,2097152,219291100.0,264645.5,240669.0,354871.0,262144.0,1.009543
RAND FORWARD FORWARD,2097152,6164502.0,9152394.0,8561366.0,9142364.0,262144.0,34.91361
RAND FORWARD BACKWARD,2097152,6221666.0,9086051.0,8482705.0,9209904.0,262144.0,34.66053
RAND BACKWARD BACKWARD,2097152,6170313.0,9065360.0,8553303.0,8918646.0,262144.0,34.5816
CYCLIC,4194304,183499500.0,624495.5,575223.0,775610.0,524288.0,1.191131
SAWTOOTH,4194304,220627200.0,520557.1,478423.0,725923.0,524288.0,0.9928838
RAND FORWARD FORWARD,4194304,6216857.0,17967420.0,16978530.0,17999010.0,524288.0,34.27014
